Title,Gross,Budget,ReleaseDate,MPAARating,RunningTime,Distributor,Source,Genre,CreativeType,Director,RottenTomatoesRating,IMDBRating
12 Rounds,12234694,20000000,3/27/2009,PG-13,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,28,5.4
2012,166112167,200000000,11/13/2009,PG-13,158,Sony Pictures,Original Screenplay,Action,Science Fiction,Roland Emmerich,39,6.2
28 Days Later...,45064915,15000000,6/27/2003,R,113,Fox Searchlight,Original Screenplay,Horror,Science Fiction,Danny Boyle,89,7.6
300,210614939,60000000,3/9/2007,R,117,Warner Bros.,Based on Comic/Graphic Novel,Action,Historical Fiction,Zack Snyder,60,7.8
3:10 to Yuma,53606916,48000000,9/2/2007,R,117,Lionsgate,Remake,Western,Historical Fiction,James Mangold,89,7.9
40 Days and 40 Nights,37939782,17000000,3/1/2002,R,96,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Michael Lehmann,38,5.4
Four Brothers,74494381,30000000,8/12/2005,R,109,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,52,6.8
50 First Dates,120776832,75000000,2/13/2004,PG-13,99,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Segal,44,6.8
88 Minutes,16930884,30000000,4/18/2008,R,106,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,5,5.9
8 Mile,116724075,41000000,11/8/2002,R,110,Universal,Original Screenplay,Drama,Contemporary Fiction,Curtis Hanson,74,6.7
About a Boy,40803000,27000000,5/17/2002,PG-13,101,Universal,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Paul Weitz,93,7.4
After the Sunset,28328132,57000000,11/12/2004,PG-13,97,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,18,6.2
A Good Year,7459300,35000000,11/10/2006,PG-13,118,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Ridley Scott,24,6.8
All the King's Men,7221458,55000000,9/22/2006,PG-13,128,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Steven Zaillian,11,6
All About the Benjamins,25482931,14000000,3/8/2002,R,95,New Line,Original Screenplay,Comedy,Contemporary Fiction,Kevin Bray,29,5.3
Sweet Home Alabama,127214072,38000000,9/27/2002,PG-13,109,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Andy Tennant,37,5.8
Fat Albert,48114556,45000000,12/25/2004,PG,93,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,Joel Zwick,21,4
Ali,58183966,109000000,12/25/2001,R,159,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Michael Mann,67,6.6
Evan Almighty,100289690,175000000,6/22/2007,PG,78,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,23,5.5
Bruce Almighty,242704995,81000000,5/23/2003,PG-13,101,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,48,6.6
Alone in the Dark,5178569,20000000,1/28/2005,R,96,Lionsgate,Based on Game,Horror,Fantasy,Uwe Boll,1,2.3
Along Came a Spider,74058698,28000000,4/6/2001,R,103,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Lee Tamahori,32,6.1
Alvin and the Chipmunks,217326974,55000000,12/14/2007,PG,92,20th Century Fox,Based on TV,Comedy,Kids Fiction,Tim Hill,27,5.5
Alexander,34297191,155000000,11/24/2004,R,175,Warner Bros.,Based on Real Life Events,Adventure,Dramatization,Oliver Stone,16,5.4
An American Carol,7013191,20000000,10/3/2008,PG-13,84,Vivendi Entertainment,Original Screenplay,Comedy,Fantasy,David Zucker,12,4.5
American Gangster,130164645,100000000,11/2/2007,R,157,Universal,Based on Real Life Events,Drama,Dramatization,Ridley Scott,79,7.9
Anger Management,135560942,56000000,4/11/2003,PG-13,106,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Peter Segal,43,6.1
The Animal,55762229,22000000,6/1/2001,PG-13,83,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Luke Greenfield,30,4.6
Analyze That,32122249,60000000,12/6/2002,R,96,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,27,5.6
Apocalypto,50866635,40000000,12/8/2006,R,136,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,Mel Gibson,64,7.9
Are We There Yet?,82674398,20000000,1/21/2005,PG,94,Sony Pictures,Original Screenplay,Romantic Comedy,Kids Fiction,Brian Levant,12,4.2
King Arthur,51877963,90000000,7/7/2004,PG-13,126,Walt Disney Pictures,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Antoine Fuqua,31,6.2
Atonement,50980159,30000000,12/7/2007,R,130,Focus Features,Based on Book/Short Story,Drama,Contemporary Fiction,Joe Wright,83,7.9
Austin Powers in Goldmember,213117789,63000000,7/25/2002,PG-13,94,New Line,Original Screenplay,Comedy,Science Fiction,Jay Roach,54,6.2
The Aviator,102608827,110000000,12/17/2004,PG-13,170,Miramax,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,88,7.6
Around the World in 80 Days,24004159,110000000,6/16/2004,PG,120,Walt Disney Pictures,Remake,Adventure,Historical Fiction,Frank Coraci,30,5.6
Away We Go,9451946,21000000,6/5/2009,R,98,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Sam Mendes,66,7.3
Babylon A.D.,22532572,45000000,8/29/2008,PG-13,100,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Mathieu Kassovitz,7,5.3
Bad Boys II,138540870,130000000,7/18/2003,R,147,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,24,6.2
Bad Company,30157016,70000000,6/7/2002,PG-13,117,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Joel Schumacher,10,5.3
Bangkok Dangerous,15298133,45000000,9/5/2008,R,98,Lionsgate,Remake,Action,Contemporary Fiction,Oxide Pang Chun,9,5.4
Basic,26599248,50000000,3/28/2003,R,98,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,John McTiernan,21,6.3
Batman Begins,205343774,150000000,6/15/2005,PG-13,140,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Christopher Nolan,84,8.3
The Dark Knight,533345358,185000000,7/18/2008,PG-13,152,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Christopher Nolan,93,8.9
Baby Boy,28734552,16000000,6/27/2001,R,130,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,69,6.1
The Curious Case of Benjamin Button,127509326,160000000,12/25/2008,PG-13,167,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,David Fincher,72,8
Be Cool,55849401,75000000,3/4/2005,PG-13,115,MGM,Based on Book/Short Story,Comedy,Contemporary Fiction,F. Gary Gray,30,5.6
Body of Lies,39394666,67500000,10/10/2008,R,129,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ridley Scott,52,7.2
Blood Diamond,57377916,100000000,12/8/2006,R,143,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,62,8
In the Bedroom,35930604,1700000,11/23/2001,R,130,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,93,7.5
Bee Movie,126631277,150000000,11/2/2007,PG,90,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Steve Hickner,51,6.3
Beowulf,82195215,150000000,11/16/2007,PG-13,115,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Robert Zemeckis,70,6.6
Big Fat Liar,47811275,15000000,2/8/2002,PG,88,Universal,Original Screenplay,Comedy,Contemporary Fiction,Shawn Levy,43,5.2
Big Fish,66432867,70000000,12/10/2003,PG-13,125,Sony Pictures,Based on Book/Short Story,Drama,Fantasy,Tim Burton,77,8.1
Black Hawk Down,108638745,95000000,12/28/2001,R,144,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Ridley Scott,76,7.7
Blood Work,26199517,50000000,8/9/2002,R,110,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,54,6.3
Legally Blonde,96493426,18000000,7/13/2001,PG-13,97,MGM,Original Screenplay,Comedy,Contemporary Fiction,Robert Luketic,67,6.2
Blow,52990775,30000000,4/6/2001,R,123,New Line,Based on Book/Short Story,Drama,Dramatization,Ted Demme,54,7.4
A Beautiful Mind,170708996,78000000,12/21/2001,PG-13,135,Universal,Based on Magazine Article,Drama,Dramatization,Ron Howard,78,8
Bandits,41523271,75000000,10/12/2001,PG-13,123,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,63,6.5
Bobby,11242801,14000000,11/17/2006,R,120,MGM,Based on Real Life Events,Drama,Dramatization,Emilio Estevez,46,7.1
The Bourne Identity,121468960,60000000,6/14/2002,PG-13,110,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Doug Liman,82,7.7
The Bourne Supremacy,176087450,85000000,7/23/2004,PG-13,108,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,81,7.6
